10, 0.000000
20, 0.000000
30, 0.000000
40, 0.000000
50, 0.000000
60, 0.000000
70, 0.000000
80, 0.000000
90, 0.000000
100, 0.000000
200, 0.000000
300, 0.000000
400, 0.000000
500, 0.000000
600, 0.000000
700, 0.000000
800, 0.000000
900, 0.000000
1000, 0.000000
2000, 0.001000
3000, 0.001000
4000, 0.002000
5000, 0.002000
6000, 0.002000
7000, 0.003000
8000, 0.003000
9000, 0.031000
10000, 0.008000
20000, 0.005000
30000, 0.008000
40000, 0.005000
50000, 0.006000
60000, 0.007000
70000, 0.006000
80000, 0.007000
90000, 0.007000
100000, 0.007000
200000, 0.024000
300000, 0.026000
400000, 0.018000
500000, 0.022000
600000, 0.026000
700000, 0.056000
800000, 0.038000
900000, 0.036000
1000000, 0.042000
10, 0.000000
20, 0.000000
30, 0.000000
